Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
SJT,San Juan Basin Royalty Trust,194.36M,4.170,-0.95%,11.03M
EVC,Entravision Communications Corporation,193.47M,2.150,-4.44%,1.15B
PROF,Profound Medical Corp.,192.54M,6.45,0.62%,8.98M
KNOP,KNOT Offshore Partners LP,192.16M,5.50,-1.79%,299.79M
LAZR,"Luminar Technologies, Inc.",191.45M,5.75,7.68%,75.03M
TDAC,Translational Development Acquisition Corp.,191.45M,10.05,-,-
BSII,Black Spade Acquisition II Co,191.44M,10.09,-,-
EARN,Ellington Credit Company,191.40M,6.56,-,-15.58M
FLL,"Full House Resorts, Inc.",191.18M,5.37,0.75%,279.13M
REKR,"Rekor Systems, Inc.",190.47M,2.030,10.93%,43.82M
RELL,"Richardson Electronics, Ltd.",190.19M,13.20,1.38%,202.97M
HNVR,"Hanover Bancorp, Inc.",190.19M,26.59,-0.78%,63.49M
NVRO,Nevro Corp.,189.98M,5.07,-2.69%,419.15M
HMST,"HomeStreet, Inc.",189.90M,10.07,-1.37%,75.70M
ACRV,"Acrivon Therapeutics, Inc.",189.00M,6.07,4.84%,-
MGNX,"MacroGenics, Inc.",188.29M,3.000,-0.33%,141.33M
MRT,"Marti Technologies, Inc.",188.11M,3.210,2.56%,18.95M
BHR,Braemar Hotels & Resorts Inc.,187.99M,2.550,-0.39%,732.34M
FSP,Franklin Street Properties Corp.,187.46M,1.810,-2.16%,126.51M
SMHI,SEACOR Marine Holdings Inc.,187.43M,6.78,-3.97%,274.64M
ISTR,Investar Holding Corporation,187.43M,19.07,-0.31%,86.32M
EQC,Equity Commonwealth,187.03M,1.740,2.35%,58.43M
NKSH,"National Bankshares, Inc.",186.87M,29.39,-1.61%,44.13M
RCKY,"Rocky Brands, Inc.",186.64M,25.04,-1.84%,451.67M
UAMY,United States Antimony Corporation,186.52M,1.720,-4.44%,10.22M
BZUN,Baozun Inc.,186.44M,3.230,-3.58%,1.31B
CLAR,Clarus Corporation,186.44M,4.860,-2.80%,269.41M
MRCC,Monroe Capital Corporation,186.33M,8.60,0.58%,62.01M
LNZA,"LanzaTech Global, Inc.",186.29M,0.942,-1.45%,58.03M
GNFT,Genfit S.A.,185.29M,3.730,-4.60%,86.23M
